GENERATION_DISTRIBUTION
Note!!! Please add ' at the beginning of generator ID as a special indicator of text type.
Unit Name,Unit ID, Type, Element Name, Ratio
BuenaVistaPump-Total,'2,BUS,38780,0.117806
Burdett 368S DG P/V,'G1,BUS,542269,0.322034
Burdett 368S DG P/V,'X0,BUS,54269,0.677966
C Lenzie CC1a,'1,BUS,18431,0.5854447
C Lenzie CC1a,'1,BUS,18433,0.4145553
C Lenzie CC1b,'1,BUS,18432,0.5854185
C Lenzie CC1b,'1,BUS,18433,0.4145815
C Lenzie CC2a,'1,BUS,18434,0.5710069
C Lenzie CC2a,'1,BUS,18436,0.4289931
C Lenzie CC2b,'1,BUS,18435,0.5711553
C Lenzie CC2b,'1,BUS,18436,0.4288447
CacheCreekLandfill,'1,BUS,80977,0.333333
CacheCreekLandfill,'3,BUS,80977,0.333333
CacheCreekLandfill,'2,BUS,80977,0.333333
CalpineCC-Total,'1,BUS,58187,0.584615
CalpineCC-Total,'2,BUS,59187,0.415385
Cameron Ridge1WT47.1,'1,BUS,24458,1
Campo Verde Solar,'1,BUS,23301,0.33579
Campo Verde Solar,'1,BUS,23309,0.66421
Carson Ice CC,'2,BUS,37315,0.300292
Carson Ice CC,'1,BUS,37315,0.699709
CarsonCC-Total,'ST,BUS,24070,0.2125506
CarsonCC-Total,'GT,BUS,24070,0.7874494
CartyGenStaCC-Total,'1,BUS,43044,0.5912031
CartyGenStaCC-Total,'1,BUS,43045,0.4087969
Cascade CC Phs 1,'GT,BUS,573010,0.6
Cascade CC Phs 1,'ST,BUS,573510,0.4
Cascade CC Phs 2,'GT,BUS,573009,0.6
Cascade CC Phs 2,'ST,BUS,573509,0.4
Catalina Solar - Phases 1 and 21PV-NT110,'EQ,BUS,29637,0.318182
Catalina Solar - Phases 1 and 21PV-NT110,'EQ,BUS,29638,0.318182
Catalina Solar - Phases 1 and 21PV-NT110,'EQ,BUS,29639,0.363636
CavalierCC-Total,'3,BUS,58247,0.209003
CavalierCC-Total,'2,BUS,58247,0.395498
CavalierCC-Total,'1,BUS,59247,0.395498
Cedar Flat,'1,BUS,31850,0.0588
Cedar Flat,'2,BUS,31850,0.941177
CEP_6,'W1,BUS,70733,0.248
CEP_6,'W2,BUS,70736,0.252
CEP_6,'W1,BUS,70739,0.248
CEP_6,'W2,BUS,70742,0.252
Chehalis CC1a,'1,BUS,47588,0.3276596
Chehalis CC1a,'1,BUS,47590,0.6723405
Chehalis CC1b,'1,BUS,47588,0.3304721
Chehalis CC1b,'2,BUS,47589,0.6695279
Cherokee CC1a,'G5,BUS,70145,0.3270417
