"MONTHLYVAR","Please don't change this row, otherwise this file may not be valid anymore!"
"Generator Name","DataTypeName","DataTypeID","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"ANC CAT05","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ANC CAT06","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANC CAT06","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ANC CAT07","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANC CAT07","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Animas GT1A","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animas GT1A","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_10","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_10","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_11","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_11","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_12","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_12","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_5","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_5","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_6","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_6","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_7","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_7","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_8","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_8","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Antelope Nuclear_1_9","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antelope Nuclear_1_9","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apache CC","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apache CC","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apache GT2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apache GT2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apache GT3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apache GT3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apache GT4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apache GT4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apache GT4","VARMarginRatio",13,0,.9066667,.9066667,.9066667,.9066667,.9066667,.9066667,.9066667,.9066667,.9066667,.9066667,.9066667,.9066667
"Apache ST2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apache ST2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apache ST3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apache ST3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apex CC1a","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apex CC1a","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apex CC1b","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apex CC1b","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Apex LREGF","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apex LREGF","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Arapahoe CC1a","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arapahoe CC1a","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Arapahoe CC1b","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arapahoe CC1b","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Argus_Cogen8-9","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argus_Cogen8-9","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Arlington Valley CC1a","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arlington Valley CC1a","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Arlington Valley CC1b","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arlington Valley CC1b","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Arlington Valley CC1b","VARMarginRatio",13,0,.94,.94,.94,.94,.94,.94,.94,.94,.94,.94,.94,.94
"Armstrong_Cogen","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armstrong_Cogen","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ARP Loyalton Biomass","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARP Loyalton Biomass","Derate",3,0,1,1,1,1,1,.94,.94,.94,.94,1,1,1
"Arvada 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arvada 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Arvada 2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arvada 2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Arvada 3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arvada 3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"ASU CHP","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASU CHP","Derate",3,0,1,1,1,1,1,.92,.92,.92,.92,1,1,1
"Badger_Creek","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Badger_Creek","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Badger_Creek","VARMarginRatio",13,0,.8770834,.8770834,.8770834,.8770834,.8770834,.8770834,.8770834,.8770834,.8770834,.8770834,.8770834,.8770834
"Baja CA CC3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baja CA CC3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Baja CA II GT 1-1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baja CA II GT 1-1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Baja CA II GT 1-2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baja CA II GT 1-2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Baja CA II GT 1-3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baja CA II GT 1-3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BalzacCC-Total","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BalzacCC-Total","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BangorSubmarineBase1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BangorSubmarineBase1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BangorSubmarineBase2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BangorSubmarineBase2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Bannock County Landfill","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bannock County Landfill","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Barber Creek 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barber Creek 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Barber Creek 2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barber Creek 2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Barber Creek 3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barber Creek 3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BARRE QFS1OT0.2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BARRE QFS1OT0.2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BarrePeaker","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BarrePeaker","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BarrePeaker","VARMarginRatio",13,0,.8581818,.8581818,.8581818,.8581818,.8581818,.8581818,.8581818,.8581818,.8581818,.8581818,.8581818,.8581818
"BasinCreek1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BasinCreek2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BasinCreek3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BasinCreek4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BasinCreek5","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek5","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BasinCreek6","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek6","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BasinCreek7","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek7","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BasinCreek8","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek8","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BasinCreek9","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BasinCreek9","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Battle River 4 Gas","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Battle River 4 Gas","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Battle River 5 Gas","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Battle River 5 Gas","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Battle_River_4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Battle_River_4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BearMountain_CA","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BearMountain_CA","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Beaver CC1a","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaver CC1a","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Beaver CC1b","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaver CC1b","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Beaver CC1c","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaver CC1c","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Beaver Creek PP","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaver Creek PP","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Beaver8","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaver8","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Beaver8","VARMarginRatio",13,0,.8979592,.8979592,.8979592,.8979592,.8979592,.8979592,.8979592,.8979592,.8979592,.8979592,.8979592,.8979592
"Bellshill (BHL1)","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellshill (BHL1)","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Ben French GT1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben French GT1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Ben French GT2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben French GT2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Ben French GT3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben French GT3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Ben French GT4","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben French GT4","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Ben French ICE 1-5","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben French ICE 1-5","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BennettMountain","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BennettMountain","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BennettMountain","VARMarginRatio",13,0,.8410257,.8410257,.8410257,.8410257,.8410257,.8410257,.8410257,.8410257,.8410257,.8410257,.8410257,.8410257
"Beowawe Power 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beowawe Power 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Beowawe Power 2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beowawe Power 2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Berry Cogen 38 - Unit 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berry Cogen 38 - Unit 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BerryPlaceritaCogen1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BerryPlaceritaCogen1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BerryTanneHills18-1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BerryTanneHills18-1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Bidart Old River 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bidart Old River 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BiomassOneGE2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BiomassOneGE2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Birdsall 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birdsall 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Birdsall 2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birdsall 2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Birdsall 3","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birdsall 3","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Black Mountain 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black Mountain 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Black Mountain 1","VARMarginRatio",13,0,.94,.94,.94,.94,.94,.94,.94,.94,.94,.94,.94,.94
"Black Mountain 2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black Mountain 2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Blackfalds (BFD1)","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blackfalds (BFD1)","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BlackSand Generating Facility1GT8","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BlackSand Generating Facility1GT8","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BLM EAST Facility1GT72","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLM EAST Facility1GT72","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"BLM EAST Facility1GT72","VARMarginRatio",13,0,.7986111,.7986111,.7986111,.7986111,.7986111,.7986111,.7986111,.7986111,.7986111,.7986111,.7986111,.7986111
"Blue Mountain Biogas","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Mountain Biogas","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Blue Spruce 1","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Spruce 1","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
"Blue Spruce 2","FixedCost",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue Spruce 2","Derate",3,0,1,1,1,1,1,1,1,1,1,1,1,1
