"HR_GENERAL","HR_GENERAL"
"Note: For hourly resource units, there are three valid types - Wind, Solar and Others."
"GeneratorKey","GeneratorName","Type","CommitmentShapeID","CommitmentShapeName","CommitmentMultiplier","DispatchShapeID","DispatchShapeName","DispatchMultiplier","CommitmentVariation(%)","CommitmentPdf","DispatchVariation(%)","DispatchPdf","Capacity(MW)","Spillage","IfEnableMultiBlock","ModelType","IfUseInvertLoadingRatio","InvertLoadingRatio","TargetCapacityFactor"
"17463","Altamont Winds LLC","Wind","6058","WT-CISO-Altamont2_2032[18]","56.2","6058","WT-CISO-Altamont2_2032[18]","56.2","0","0","0","0","56.2",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1022","AltaW1","Wind","5172","WT_Alta Wind 11WT150 A-1_[18]","150","5172","WT_Alta Wind 11WT150 A-1_[18]","150","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1023","AltaW2","Wind","5187","WT_Alta Wind 21WT150 A-1_[18]","150","5187","WT_Alta Wind 21WT150 A-1_[18]","150","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1024","AltaW3","Wind","5186","WT_Mustang Hills1WT150 A-1_[18]","150","5186","WT_Mustang Hills1WT150 A-1_[18]","150","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1025","AltaW4","Wind","5204","WT_Alta Wind 41WT102 A-1_[18]","102","5204","WT_Alta Wind 41WT102 A-1_[18]","102","0","0","0","0","102",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1026","AltaW5","Wind","5205","WT_Alta Wind 51WT168 A-1_[18]","168","5205","WT_Alta Wind 51WT168 A-1_[18]","168","0","0","0","0","168",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1037","AltaW6","Wind","5185","WT_Alta Wind 31WT150 A-1_[18]","150","5185","WT_Alta Wind 31WT150 A-1_[18]","150","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"5715","AltaW7_PinyonP1","Wind","5208","WT_Pinyon Pines 21WT132 A-1_[18]","132","5208","WT_Pinyon Pines 21WT132 A-1_[18]","132","0","0","0","0","132",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"1038","AltaW8","Wind","5207","WT_Alta Wind 81WT150 A-1_[18]","150","5207","WT_Alta Wind 81WT150 A-1_[18]","150","0","0","0","0","150",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17865","Altech 3WT9.8","Wind","5271","WT_Altech 3WT9.8 A-1_[18]","9.8","5271","WT_Altech 3WT9.8 A-1_[18]","9.8","0","0","0","0","9.8",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"14973","ALTWIND_25635_Q1","Wind","5270","WT_Phoenix1WT11.2 A-1_[18]","28.84","5270","WT_Phoenix1WT11.2 A-1_[18]","28.84","0","0","0","0","28.84",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"19233","Amazon PV Agg","Solar","4777","PV_Amazon1PV-NT9.9_[18]","30.9","4777","PV_Amazon1PV-NT9.9_[18]","30.9","0","0","0","0","30.9",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13069","American Falls Solar I","Solar","4922","PV_American Falls Solar1PV-T20_[18]","40","4922","PV_American Falls Solar1PV-T20_[18]","40","0","0","0","0","40",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17048","American Kings Solar","Solar","4600","PV_American Kings Solar1PV-NT123_[18]","123","4600","PV_American Kings Solar1PV-NT123_[18]","123","0","0","0","0","123",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17670","Angel Fire Solar","Solar","5122","PV_Angel Fire Solar1PV-T6_[18]","6","5122","PV_Angel Fire Solar1PV-T6_[18]","6","0","0","0","0","6",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17772","Antelope Big Sky Ranch1PV-NT20","Solar","4351","PV_Antelope Big Sky Ranch1PV-NT20_[18]","20","4351","PV_Antelope Big Sky Ranch1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17804","Antelope Power Plant1PV-NT20","Solar","4352","PV_Antelope Power Plant1PV-NT20_[18]","20","4352","PV_Antelope Power Plant1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17859","ANTELOPE QFS1WT9.49","Wind","5177","WT_ANTELOPE QFS1WT9.49 A-1_[18]","6.6","5177","WT_ANTELOPE QFS1WT9.49 A-1_[18]","6.6","0","0","0","0","6.6",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18092","Antelope Solar 1B","Solar","4373","PV_Antelope Solar 1B1PV-NT17_[18]","17","4373","PV_Antelope Solar 1B1PV-NT17_[18]","17","0","0","0","0","17",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18093","Antelope Solar 2","Solar","4367","PV_Antelope Solar 2PV-NT105_[18]","105","4367","PV_Antelope Solar 2PV-NT105_[18]","105","0","0","0","0","105",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18094","Antelope Solar 2 San Pablo","Solar","4372","PV_Antelope Solar 2 San PabloPV-NT100_[18]","100","4372","PV_Antelope Solar 2 San PabloPV-NT100_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"19223","Antelope Solar 3","Solar","4364","PV_Antelope Solar 3APV-NT15_[18]","20","4364","PV_Antelope Solar 3APV-NT15_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17770","AP North Lake Solar1PV-NT20","Solar","4204","PV_AP North Lake Solar1PV-NT20_[18]","20","4204","PV_AP North Lake Solar1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17262","Apache Solar","Solar","4024","PV_Apache Solar1PV-T20_[18]","20","4024","PV_Apache Solar1PV-T20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"19281","Apex Solar 690","Solar","4653","PV_Apex Solar1PV-T690_[18]","690","4653","PV_Apex Solar1PV-T690_[18]","690","0","0","0","0","690",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13438","Apex Solar Power","Solar","4631","PV_RV Apex Solar Power1PV-NT20_[18]","20","4631","PV_RV Apex Solar Power1PV-NT20_[18]","20","0","0","0","0","20",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18248","Apex1PV80","Solar","5002","PV_Apex1PV80_[18]","80","5002","PV_Apex1PV80_[18]","80","0","0","0","0","80",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18531","Appaloosa Solar I  LLC (Appaloosa I-A)","Solar","4749","PV_Appaloosa Solar I LLC (Appaloosa I-A) (Utah Schedule 34 - Re_[18]","120","4749","PV_Appaloosa Solar I LLC (Appaloosa I-A) (Utah Schedule 34 - Re_[18]","120","0","0","0","0","120",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18532","Appaloosa Solar I  LLC (Appaloosa I-B)","Solar","4750","PV_Appaloosa Solar I LLC (Appaloosa I-B) (Utah Schedule 34 - Re_[18]","80","4750","PV_Appaloosa Solar I LLC (Appaloosa I-B) (Utah Schedule 34 - Re_[18]","80","0","0","0","0","80",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17047","Apparent First Hybrid","Solar","4821","PV_Apparent First Hybrid1PV-NT12_[18]","12","4821","PV_Apparent First Hybrid1PV-NT12_[18]","12","0","0","0","0","12",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13735","Apple Solar","Solar","4835","PV_Fort Churchill Solar Array (Apple)1PV-T19.5_[18]","19.5","4835","PV_Fort Churchill Solar Array (Apple)1PV-T19.5_[18]","19.5","0","0","0","0","19.5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"15693","APT_DIST_PV","Solar","4043","PV_LAS CRUCES CENTENNIAL SOLAR FARM2PV-T12_[18]","12","4043","PV_LAS CRUCES CENTENNIAL SOLAR FARM2PV-T12_[18]","12","0","0","0","0","12",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18029","Aquamarine Westside","Solar","4593","PV_Aquamarine Westside1PV-NT250_[18]","250","4593","PV_Aquamarine Westside1PV-NT250_[18]","250","0","0","0","0","250",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13252","Aragonne Mesa","Wind","5526","WT_Argonne Mesa1WT90 A-1_[18]","90","5526","WT_Argonne Mesa1WT90 A-1_[18]","90","0","0","0","0","90",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18392","Aragonne Wind","Wind","6065","WT_Aragonne Wind1WT234.96 B-1_[18]","234.96","6065","WT_Aragonne Wind1WT234.96 B-1_[18]","234.96","0","0","0","0","234.96",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"3011","ARD_G1","Wind","5420","WT_Ardenville Wind (ARD1)1WT34 A-1_[18]","34","5420","WT_Ardenville Wind (ARD1)1WT34 A-1_[18]","34","0","0","0","0","34",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"3177","ARD_G2","Wind","5419","WT_Ardenville Wind (ARD1)2WT34 A-1_[18]","34","5419","WT_Ardenville Wind (ARD1)2WT34 A-1_[18]","34","0","0","0","0","34",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18051","Arizona State U PV Agg","Solar","4215","PV_Arizona State University - PS41PV0.87_[18]","4.81","4215","PV_Arizona State University - PS41PV0.87_[18]","4.81","0","0","0","0","4.81",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18052","Arizona Western College PV Agg","Solar","4089","PV_ARIZONA WESTERN COLLEGE1PV0.87_[18]","6.44","4089","PV_ARIZONA WESTERN COLLEGE1PV0.87_[18]","6.44","0","0","0","0","6.44",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17776","Arizona_Solar (Generic)PV-NT1463","Solar","4179","PV_Arizona_Solar (Generic)PV-NT1463_[18]","1463","4179","PV_Arizona_Solar (Generic)PV-NT1463_[18]","1463","0","0","0","0","1463",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"17792","Arizona_Solar (Generic)PV-NT889","Solar","4156","PV_Arizona_Solar (Generic)PV-NT889_[18]","889","4156","PV_Arizona_Solar (Generic)PV-NT889_[18]","889","0","0","0","0","889",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"13526","Arkansas","Solar","4138","PV_SG Arkansas1PV-NT50_[18]","50","4138","PV_SG Arkansas1PV-NT50_[18]","50","0","0","0","0","50",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"19151","Arlington Community SolarPVPV-NT0.5","Solar","5040","PV_Arlington Community SolarPVPV-NT0.5_[18]",".5","5040","PV_Arlington Community SolarPVPV-NT0.5_[18]",".5","0","0","0","0",".5",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"19299","Arlington PV","Solar","4191","PV_Arlington1PV-NT100_[18]","100","4191","PV_Arlington1PV-NT100_[18]","100","0","0","0","0","100",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
"18095","Arlington Solar Unit 1","Solar","4195","PV_Arlington Solar Unit 11PV-NT131_[18]","131","4195","PV_Arlington Solar Unit 11PV-NT131_[18]","131","0","0","0","0","131",#TRUE#,#FALSE#,"NA",#TRUE#,"1","1"
