generatorkey,ads_name,bus id,bus name,bus kv,unit id,generator typeid,subtype,long id,ads_long_name,servicestatus,commission_date,retirement_date,devstatus,balancing_area,region name,mincap(mw),maxcap(mw),initialdispatch(mw),save to binary,state,county,city,zipcode,fueltype,technology,btm,internalid,economicpmin,economicpmax,tech_type,GeneratorKey,GeneratorName_x,Type,DispatchShapeName,DispatchMultiplier,capacity_hourly_rsc,GeneratorName_y, Turbine Type,Model Type,MustRun,MinimumDownTime(hr),MinimumUpTime(hr),MaxUpTime(hr),Generic Ramp Rate Name,RampUp Rate(MW/minute),RampDn Rate(MW/minute),Startup Cost Fixed($),StartFuel(MMBTu),Startup Time,VOM Cost,IOMaxCap(MW),IOMinCap(MW),MinInput(MMBTu),IncCap2(MW),IncHR2(MMBTu/MWh),IncCap3(MW),IncHR3(MMBTu/MWh),IncCap4(MW),IncHR4(MMBTu/MWh),IncCap5(MW),IncHR5(MMBTu/MWh),IncCap6(MW),IncHR6(MMBTu/MWh),IncCap7(MW),IncHR7(MMBTu/MWh)
18926,DG-BTM_PGE_OR_Columbia,43435,RAINIER,115.0,'Q8,4,DG-BTM,G0--,DG-BTM_PGE_OR_Columbia,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,PGE,NW_PGE,0.0,0.5465391,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5465391,,18926.0,DG-BTM_PGE_OR_Columbia,Solar,DPV-ALL_Columbia_OR_F[18],0.5465391,0.5465391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19043,DG-BTM_WACM_CO_Gunnison,79081,CRSTBUTT,115.0,'F1,4,DG-BTM,G0--,DG-BTM_WACM_CO_Gunnison,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,WACM,RM_WACM,0.0,0.5437658,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5437658,,19043.0,DG-BTM_WACM_CO_Gunnison,Solar,DPV-ALL_Gunnison_CO_F[18],0.5437658,0.5437658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19044,DG-BTM_WACM_CO_Kit Carson,73207,WAANIBE,115.0,'F0,4,DG-BTM,G0--,DG-BTM_WACM_CO_Kit Carson,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,WACM,RM_WACM,0.0,0.543644,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.543644,,19044.0,DG-BTM_WACM_CO_Kit Carson,Solar,DPV-ALL_Kit Carson_CO_F[18],0.543644,0.543644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18917,DG-BTM_PAWY_WY_Lincoln,65374,CRAVENCK,230.0,'R7,4,DG-BTM,G0--,DG-BTM_PAWY_WY_Lincoln,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,PAWY,BS_PACE,0.0,0.5359899,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5359899,,18917.0,DG-BTM_PAWY_WY_Lincoln,Solar,DPV-ALL_Lincoln_WY_F[18],0.5359899,0.5359899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18879,DG-BTM_PAID_ID_Salt Lake,67225,MALAD 12,12.5,'V5,4,DG-BTM,G0--,DG-BTM_PAID_ID_Salt Lake,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,PAID,BS_PACE,0.0,0.5222598,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5222598,,18879.0,DG-BTM_PAID_ID_Salt Lake,Solar,DPV-ALL_Oneida_ID_F[18],0.5222598,0.5222598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18650,DG-BTM_BPAT_OR_Morrow,405474,HORSE_HV_S#,115.0,'T4,4,DG-BTM,G0--,DG-BTM_BPAT_OR_Morrow,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,BPAT,NW_BPAT,0.0,0.5171866,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5171866,,18650.0,DG-BTM_BPAT_OR_Morrow,Solar,DPV-ALL_Morrow_OR_F[18],0.5171866,0.5171866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19057,DG-BTM_WACM_CO_Washington,73006,ANTON,115.0,'D7,4,DG-BTM,G0--,DG-BTM_WACM_CO_Washington,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,WACM,RM_WACM,0.0,0.5013815,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.5013815,,19057.0,DG-BTM_WACM_CO_Washington,Solar,DPV-ALL_Washington_CO_F[18],0.5013815,0.5013815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19151,Arlington Community SolarPVPV-NT0.5,45773,EDGECOMB,115.0,'X0,4,SolarPV-NonTracking,_,nan,#TRUE#,#2020-01-01#,#2050-12-31#,Existing,BPAT,NW_BPAT,0.0,0.5,0.0,YES,WA,Snohomish,,EC,Solar,NonTracking,#FALSE#,,0,.5,Solar_NonTracking,19151.0,Arlington Community SolarPVPV-NT0.5,Solar,PV_Arlington Community SolarPVPV-NT0.5_[18],0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18691,DG-BTM_CHPD_WA_Kitsap,46886,WESTERN,115.0,'P3,4,DG-BTM,G0--,DG-BTM_CHPD_WA_Kitsap,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,CHPD,NW_CHPD,0.0,0.498449,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.498449,,18691.0,DG-BTM_CHPD_WA_Kitsap,Solar,DPV-ALL_Kitsap_WA_F[18],0.498449,0.498449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18644,DG-BTM_BPAT_OR_Hood River,40813,PARKDALE,230.0,'U0,4,DG-BTM,G0--,DG-BTM_BPAT_OR_Hood River,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,BPAT,NW_BPAT,0.0,0.4963148,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4963148,,18644.0,DG-BTM_BPAT_OR_Hood River,Solar,DPV-ALL_Hood River_OR_F[18],0.4963148,0.4963148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18762,DG-BTM_DOPD_WA_Okanogan,472090,PATEROS,115.0,'I2,4,DG-BTM,G0--,DG-BTM_DOPD_WA_Okanogan,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,DOPD,NW_DOPD,0.0,0.4943295,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4943295,,18762.0,DG-BTM_DOPD_WA_Okanogan,Solar,DPV-ALL_Okanogan_WA_F[18],0.4943295,0.4943295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18830,DG-BTM_NWMT_MT_Stillwater,623179,STILLWATER E,100.0,'B4,4,DG-BTM,G0--,DG-BTM_NWMT_MT_Stillwater,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,NWMT,NW_NWMT,0.0,0.4888529,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4888529,,18830.0,DG-BTM_NWMT_MT_Stillwater,Solar,DPV-ALL_Stillwater_MT_F[18],0.4888529,0.4888529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19036,DG-BTM_WACM_CO_Adams,73030,BRIGHTNW,115.0,'F8,4,DG-BTM,G0--,DG-BTM_WACM_CO_Adams,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,WACM,RM_WACM,0.0,0.487636,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.487636,,19036.0,DG-BTM_WACM_CO_Adams,Solar,DPV-ALL_Adams_CO_F[18],0.487636,0.487636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18796,DG-BTM_IPTV_ID_Valley,60220,MCCALL,138.0,'E8,4,DG-BTM,G0--,DG-BTM_IPTV_ID_Valley,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,IPTV,BS_IPCO,0.0,0.4875307,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4875307,,18796.0,DG-BTM_IPTV_ID_Valley,Solar,DPV-ALL_Valley_ID_F[18],0.4875307,0.4875307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18866,DG-BTM_PACW_WA_Klickitat,45034,BLALOK,69.0,'W8,4,DG-BTM,G0--,DG-BTM_PACW_WA_Klickitat,#TRUE#,#2023-04-15#,#2050-01-01#,Future-Conceptual,PACW,NW_PACW,0.0,0.4867906,0.0,YES,ID,,,,Solar,,#TRUE#,,0,.4867906,,18866.0,DG-BTM_PACW_WA_Klickitat,Solar,DPV-ALL_Klickitat_WA_F[18],0.4867906,0.4867906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
